white,educ_r,age60m,ssi,welfare,Income,immig,r_sex,charity,assets
1,4,0,0,0,84000,1,1,0,100000
0,4,0,0,0,14400,1,0,0,5000
0,2,0,0,0,27500,1,1,0,4000
1,4,1,0,0,85000,0,1,0,500000
0,4,0,0,0,135000,0,1,0,50000
0,4,0,,,,0,0,,
1,4,0,0,0,54000,0,0,0,15000
0,2,1,0,0,0,0,0,0,
1,4,0,0,0,35000,0,0,0,30000
0,3,0,0,0,27000,0,1,0,175000
0,1,1,0,0,0,0,1,0,1250
1,4,0,0,0,14400,0,1,0,50000
0,4,0,0,0,32000,1,0,0,5000
1,2,1,0,0,0,0,0,0,25000
0,2,0,0,,7200,0,1,0,5000
0,3,0,0,0,25000,1,1,0,6000
1,2,0,0,0,80000,0,1,0,20000
1,,0,0,0,250000,1,1,0,6000
1,2,0,0,0,12000,1,0,0,4000
0,2,0,0,0,2000,1,0,1000,4000
1,4,0,0,0,24000,0,0,0,4000
0,2,0,0,0,15000,0,1,0,
0,4,0,0,0,40000,0,0,0,1250
0,2,0,0,2200,3600,0,0,0,0
0,2,0,0,0,21000,1,0,0,0
0,3,0,0,0,26000,1,0,0,
0,3,0,0,0,100000,0,1,0,500000
0,3,0,0,0,26880,1,1,0,0
0,2,0,0,0,50000,0,1,0,0
0,1,0,0,0,0,0,0,0,
0,1,0,3360,0,0,1,0,0,100
0,1,0,0,0,9600,1,0,0,6000
0,1,0,6816,,,0,0,0,
0,3,0,0,0,39000,0,0,0,0
1,4,0,0,0,45000,0,1,0,100000
0,1,0,0,0,2400,1,1,0,0
1,3,0,0,0,0,0,0,0,5000
0,4,1,2400,0,2400,1,0,0,1250
0,1,1,0,0,0,0,0,0,250
0,3,0,0,0,40000,0,1,0,150000
1,4,1,,0,0,0,0,0,100000
0,2,0,0,0,0,1,1,0,
1,3,0,0,0,6500,0,1,0,70000
1,2,1,0,0,0,0,0,0,90000
1,3,0,5160,0,27000,0,0,0,400
0,1,0,,0,20000,0,1,0,1250
0,4,0,0,0,60000,0,0,0,
0,4,0,0,0,,0,0,0,
0,2,0,0,2400,660,0,0,0,1250
1,4,0,0,0,56000,0,0,0,375000
0,2,1,3264,,0,1,0,0,0
1,4,1,0,0,0,,0,0,
1,1,0,0,0,0,0,1,0,0
1,3,0,0,0,70000,0,1,0,80000
0,3,1,0,0,0,0,0,0,80000
1,4,0,0,0,10000,0,1,0,3000
,4,1,0,0,0,0,1,0,
1,4,0,0,0,,0,0,0,
1,4,0,0,0,20000,0,0,0,50000
1,4,0,0,0,150000,0,0,0,100000
0,4,0,0,0,40000,0,0,0,6000
0,2,0,0,0,0,0,0,0,
1,4,0,0,0,6000,0,1,0,5000
,4,0,,0,,0,0,,
0,3,0,0,0,40000,1,1,0,
0,3,0,0,0,0,1,0,0,20000
0,3,0,0,0,,1,1,0,
1,4,0,0,0,5600,0,0,0,14000
0,4,0,0,0,20000,0,0,2200,30000
0,3,0,0,0,20000,0,1,0,10000
1,4,0,0,0,33000,1,0,0,
0,3,0,0,0,50000,0,0,0,0
0,4,0,0,0,0,0,1,0,10000
0,1,1,0,0,0,0,1,0,25000
1,4,0,0,0,0,0,1,0,100000
0,4,0,0,0,0,1,0,0,0
1,3,1,0,0,0,0,0,0,175000
0,3,0,0,0,30000,1,0,0,4000
1,4,1,0,0,0,1,0,0,
0,2,0,0,0,,0,1,0,
0,2,1,0,0,0,1,0,0,75000
1,3,0,0,0,0,1,0,0,15000
0,2,0,0,0,40000,1,1,0,60000
1,4,0,0,0,0,1,1,0,25000
0,4,0,0,0,70000,1,1,0,1250
0,4,0,0,0,8600,1,1,10800,690
0,2,0,0,,0,0,1,0,2000
0,4,0,0,0,50000,0,0,0,20000
0,4,0,0,0,14000,0,0,0,500
0,4,0,0,0,87000,1,1,0,35000
0,3,0,0,0,,0,1,0,
1,2,0,0,0,65000,0,0,0,30000
0,2,0,0,0,22000,,0,0,0
1,3,0,0,0,3000,0,1,0,15000
0,1,0,0,0,0,1,1,0,
1,4,0,0,0,0,1,0,0,
0,2,1,0,0,0,1,1,0,
0,4,0,0,0,4000,1,1,0,80000
,4,0,0,0,28000,0,0,0,78000
0,2,0,0,,,1,0,0,0
1,4,0,0,0,0,1,1,0,40000
0,2,1,,0,0,1,0,0,1250
1,3,0,0,0,32000,0,1,0,1250
1,1,0,0,0,0,1,0,0,250
1,4,0,0,0,45000,0,1,0,175000
0,2,0,0,0,31000,0,1,0,
,3,0,0,0,,,0,0,
,3,0,0,2460,1920,0,0,0,0
0,4,1,0,0,,0,1,0,
0,2,0,0,0,,1,0,0,0
0,4,0,0,0,50000,0,1,0,0
0,3,0,0,0,,0,0,0,
1,4,1,0,0,0,0,1,0,9999999
1,2,1,0,0,0,0,1,0,
1,,0,0,0,0,,1,0,250
,4,0,0,0,18000,0,1,0,1250
0,2,0,0,0,22500,1,1,0,0
1,3,1,0,0,0,0,0,0,
0,3,0,0,0,38000,1,1,0,10000
0,4,0,0,0,56000,0,1,0,5000
0,4,0,0,0,20000,1,0,0,3000
0,4,0,0,0,35000,1,0,0,2000
0,2,0,0,0,47500,0,1,0,40000
0,2,0,,0,0,1,0,0,0
0,4,0,0,0,,0,0,0,
0,4,1,0,0,0,0,1,0,
0,2,1,0,0,0,0,0,0,15000
0,1,0,0,0,11000,1,0,0,0
0,3,0,0,0,58000,0,0,0,70000
0,2,0,7404,0,0,1,0,0,0
0,3,0,0,0,2300,1,1,0,3000
0,3,0,0,0,0,1,1,0,55000
0,3,0,0,4400,12000,1,0,0,1250
1,3,0,0,0,45000,0,1,0,15000
0,4,1,0,0,,0,1,0,
0,2,0,,,0,1,0,,
0,4,0,0,0,40000,0,0,0,3000
0,2,0,0,0,14000,0,1,0,
0,3,0,0,0,26400,1,1,0,6000
0,4,0,0,0,10000,1,1,0,5000
0,4,1,0,0,76000,0,0,0,0
1,2,1,0,0,0,0,0,0,41500
1,2,0,0,0,0,0,0,0,
0,1,0,0,0,6960,1,0,0,0
1,4,0,0,0,130000,0,1,0,40000
1,2,0,0,0,0,1,0,0,
0,1,0,0,0,0,1,1,0,0
1,3,1,0,0,0,0,1,0,20000
1,2,0,7200,0,18900,0,0,0,0
1,4,0,0,0,26000,0,0,0,30000
1,4,0,0,0,,0,1,0,
1,4,0,0,0,10500,1,1,0,
0,2,1,0,0,45000,0,1,0,20000
1,4,0,0,0,20000,0,0,0,1000
1,4,0,0,0,34000,0,0,0,1000
0,3,0,0,0,140000,0,0,0,250
1,4,0,0,0,4300,0,0,0,0
1,4,0,0,0,15000,0,0,0,15000
1,3,0,0,0,90000,0,0,0,
1,4,0,0,0,120000,0,0,0,30000
0,4,0,0,0,30000,1,0,0,50000
0,2,0,0,0,0,0,0,0,5000
0,4,1,0,0,120000,0,0,0,375000
1,4,0,0,0,,0,0,0,
0,3,0,1736,0,20712,0,0,10000,40000
0,1,0,7656,0,0,0,0,0,0
1,4,0,0,0,,0,1,0,
0,3,0,0,0,32000,1,0,0,5000
0,4,0,0,0,9000,0,0,0,0
0,3,0,0,0,36000,0,0,0,15000
1,4,0,0,0,0,1,1,0,20000
0,1,0,0,0,0,1,0,0,
0,3,0,0,0,,0,0,0,
1,2,1,0,0,0,0,0,0,
0,2,0,0,0,41000,0,0,0,
0,2,0,0,0,20000,1,1,0,30000
0,3,0,0,0,31000,1,1,0,35000
1,2,1,0,0,0,0,1,0,60000
0,3,0,0,0,5000,0,0,0,0
0,1,0,0,0,23300,1,0,0,250
0,2,0,0,0,1560,1,0,0,4000
0,2,1,0,0,0,0,0,0,
0,1,0,0,0,0,1,1,0,
0,4,0,0,0,54000,0,1,0,30000
1,1,1,0,0,0,0,1,0,48000
0,2,0,0,0,,0,0,0,
0,1,1,0,,0,0,0,0,0
0,2,0,0,0,19200,0,1,0,0
0,4,0,0,0,60000,1,0,0,150000
0,1,0,0,0,0,0,0,0,1000
1,4,0,0,0,30000,0,1,0,0
1,1,0,0,0,40000,0,0,0,6000
1,4,0,0,0,65000,0,1,0,70000
1,4,1,0,0,0,0,1,0,
0,1,0,0,0,26200,1,1,0,5000
0,1,0,0,0,0,1,0,0,0
1,3,0,0,0,,0,1,0,
0,1,1,0,0,17500,0,0,0,250
0,4,0,0,0,26500,1,0,0,6000
0,3,1,0,0,0,0,0,0,
1,3,0,0,0,,0,1,0,
0,1,0,,0,,0,0,0,0
0,3,0,0,0,20000,0,0,0,250
1,3,1,0,0,20000,0,1,0,
0,4,0,0,0,14000,1,1,0,
0,4,0,0,0,100000,0,1,0,500000
0,4,0,,0,22000,1,0,0,250
0,2,0,6300,0,0,0,0,0,0
1,4,1,0,0,1000,0,0,0,
0,3,0,0,0,0,1,0,0,
1,4,0,0,0,200000,0,1,0,400000
0,4,0,0,0,75000,1,0,0,
0,4,0,0,0,0,1,0,0,
0,2,0,0,0,20000,0,1,0,0
1,4,0,0,0,80000,1,1,0,20000
1,3,0,0,0,40000,0,1,0,100
1,4,0,0,0,50000,0,1,0,100000
0,1,0,0,0,0,1,1,0,1250
1,4,0,0,0,,0,1,0,99999
0,2,0,0,0,27500,1,1,0,
0,3,0,0,0,12000,1,0,0,5000
1,4,0,0,0,0,0,0,0,
0,2,0,0,0,20800,0,0,0,6000
1,4,0,0,0,55000,0,0,0,100000
0,2,0,0,0,5000,0,0,0,25000
0,4,0,0,0,48000,1,1,0,1250
0,2,0,0,,0,1,0,0,0
1,4,0,0,0,90000,0,1,0,200000
0,3,0,0,0,23000,0,0,0,0
0,2,0,0,0,14000,1,1,0,1250
0,2,0,0,0,40000,1,1,0,9999999
1,2,0,0,350,2000,0,0,0,0
0,1,0,0,0,0,1,0,0,0
0,2,0,0,0,6000,1,1,0,6000
0,3,0,0,0,17000,0,0,0,7000
0,2,0,0,0,28000,0,1,0,50000
,2,0,,,0,,1,,
0,1,0,0,0,6000,1,1,0,15000
1,3,0,0,0,85000,0,1,0,275000
0,2,0,0,0,45000,1,1,0,6000
0,2,0,0,0,0,0,0,0,
1,4,0,0,0,15000,0,0,0,
0,4,0,0,0,60000,1,0,0,20000
0,2,0,0,0,2500,0,0,0,70000
0,3,0,0,0,0,1,1,0,0
0,3,0,7416,0,0,0,1,0,20000
0,3,0,0,0,30000,0,0,0,0
